account_type,email,password,full_name
doctor,doctor1@seha.eg,Doctor@123,Dr. كريم Abdullah
doctor,doctor2@seha.eg,Doctor@123,Dr. فاطمة حسن
doctor,doctor3@seha.eg,Doctor@123,Dr. سارة El Masry
doctor,doctor4@seha.eg,Doctor@123,Dr. فاطمة Sadek
doctor,doctor5@seha.eg,Doctor@123,Dr. خالد El Sherif
doctor,doctor6@seha.eg,Doctor@123,Dr. Mahmoud Gaber
doctor,doctor7@seha.eg,Doctor@123,Dr. فاطمة علي
doctor,doctor8@seha.eg,Doctor@123,Dr. يوسف El Masry
doctor,doctor9@seha.eg,Doctor@123,Dr. هدى محمد
doctor,doctor10@seha.eg,Doctor@123,Dr. Mahmoud Ahmed
doctor,doctor11@seha.eg,Doctor@123,Dr. Sara Khattab
doctor,doctor12@seha.eg,Doctor@123,Dr. مريم عبد الله
doctor,doctor13@seha.eg,Doctor@123,Dr. طارق Abdullah
doctor,doctor14@seha.eg,Doctor@123,Dr. Khaled El Sayed
doctor,doctor15@seha.eg,Doctor@123,Dr. خالد Gaber
doctor,doctor16@seha.eg,Doctor@123,Dr. Ahmed Abdel Rahman
doctor,doctor17@seha.eg,Doctor@123,Dr. Karim El Guindy
doctor,doctor18@seha.eg,Doctor@123,Dr. Dina Mohamed
doctor,doctor19@seha.eg,Doctor@123,Dr. طارق محمد
doctor,doctor20@seha.eg,Doctor@123,Dr. عائشة Abdelaziz
doctor,doctor21@seha.eg,Doctor@123,Dr. Hoda Ibrahim
doctor,doctor22@seha.eg,Doctor@123,Dr. سارة Sadek
doctor,doctor23@seha.eg,Doctor@123,Dr. سارة أحمد
doctor,doctor24@seha.eg,Doctor@123,Dr. محمود El Sayed
doctor,doctor25@seha.eg,Doctor@123,Dr. فاطمة Ibrahim
doctor,doctor26@seha.eg,Doctor@123,Dr. Tarek Gaber
doctor,doctor27@seha.eg,Doctor@123,Dr. ياسمين علي
doctor,doctor28@seha.eg,Doctor@123,Dr. Mahmoud علي
doctor,doctor29@seha.eg,Doctor@123,Dr. Hassan الشريف
doctor,doctor30@seha.eg,Doctor@123,Dr. ياسمين إبراهيم
doctor,doctor31@seha.eg,Doctor@123,Dr. Omar عبد الله
doctor,doctor32@seha.eg,Doctor@123,Dr. سارة Ahmed
doctor,doctor33@seha.eg,Doctor@123,Dr. يوسف إبراهيم
doctor,doctor34@seha.eg,Doctor@123,Dr. Mahmoud Ahmed
doctor,doctor35@seha.eg,Doctor@123,Dr. Mahmoud Khattab
doctor,doctor36@seha.eg,Doctor@123,Dr. سارة الشريف
doctor,doctor37@seha.eg,Doctor@123,Dr. Khaled إبراهيم
doctor,doctor38@seha.eg,Doctor@123,Dr. عائشة Sadek
doctor,doctor39@seha.eg,Doctor@123,Dr. كريم Mohamed
doctor,doctor40@seha.eg,Doctor@123,Dr. هدى Abdullah
doctor,doctor41@seha.eg,Doctor@123,Dr. منى Mohamed
doctor,doctor42@seha.eg,Doctor@123,Dr. كريم محمد
doctor,doctor43@seha.eg,Doctor@123,Dr. محمد Gaber
doctor,doctor44@seha.eg,Doctor@123,Dr. Fatma El Masry
